Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max;Pres_calc;Pbhp_calc;Pinj_calc;Geom_factor;Prod_Index;Inj_index;Frac_inj;Qliq_calc;Qinj_calc
Oilfield;W1;Carbonate;01.06.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;165.51031872360812;165.51031872360812;165.51031872360812;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.07.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;165.26286033153818;165.26286033153818;165.26286033153818;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.08.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;164.9523893269718;164.9523893269718;164.9523893269718;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.09.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;164.57204814439262;164.57204814439262;164.57204814439262;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.10.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;164.14047160424428;164.14047160424428;164.14047160424428;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.11.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;163.64302585115394;163.64302585115394;163.64302585115394;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.12.2017;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;163.13210978978245;163.13210978978245;163.13210978978245;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.01.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;162.59161132284692;162.59161132284692;162.59161132284692;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.02.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;162.02957404019358;162.02957404019358;162.02957404019358;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.03.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;161.4944393843876;161.4944393843876;161.4944393843876;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.04.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;160.87094820456517;160.87094820456517;160.87094820456517;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.05.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;160.25631330445103;160.25631330445103;160.25631330445103;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.06.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;159.62878886521935;159.62878886521935;159.62878886521935;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.07.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;159.0421719957458;159.0421719957458;159.0421719957458;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.08.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;158.4684953798516;158.4684953798516;158.4684953798516;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.09.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;157.93385225701016;157.93385225701016;157.93385225701016;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.10.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;157.44348314544314;157.44348314544314;157.44348314544314;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.11.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;156.9523284080662;156.9523284080662;156.9523284080662;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
Oilfield;W1;Carbonate;01.12.2018;0.0;0.0;0.0;0.0;;;;;;;0.336809446;1.0;;;;;;156.48585845940968;156.48585845940968;156.48585845940968;0.6147315072918643;0.6147315072918643;3.0;1.0;0.0;0.0
